title,description,company,location,area,date,image
Nature conservation officer,"Magni in tempora minima incidunt. Illo nesciunt dolorum fuga est vel vero. Odit quo ad ratione vero dolorem ad.
Deleniti facilis rerum facere recusandae quo sapiente. Delectus quis voluptates libero illo minima saepe.",Fábrica de Software Internacional,Cali,Marketing,2020-07-19,vacante/images/default.jpeg
Hydrogeologist,"Quas exercitationem sunt cupiditate minus neque quae.
Molestias itaque esse. Sint consectetur repellendus error ad molestiae odio. Magni accusamus doloremque vitae explicabo quo.",Soluciones Financieras Ltda.,Pereira,Investigación,2024-06-16,vacante/images/default.jpeg
"Designer, fashion/clothing","Exercitationem eveniet culpa ex enim. Accusamus nobis magni porro maiores quaerat.
Soluta eligendi deleniti. Quidem pariatur dolor quo minus esse. Tempore quam molestias odio commodi dolorem iusto.
Eum labore quam et saepe. Animi natus magni.",Sistemas Digitales S.A.,Cúcuta,Consultoría,2020-03-14,vacante/images/default.jpeg
"Pharmacist, community","Fuga deleniti dolore odio odit. Iste in temporibus odit suscipit. Dolore assumenda dolorum voluptate esse. Sit neque iusto repudiandae cupiditate.
Iste eum nobis aliquam unde. Iusto consequuntur delectus quo suscipit voluptatum temporibus fugiat.",Corporación Innovadora,Villavicencio,Desarrollo,2024-08-17,vacante/images/default.jpeg
Warehouse manager,"Repellendus cumque architecto. Vel velit illo repellat harum voluptatum alias. Minima ipsam in esse ad possimus. Assumenda repellat ipsam quam magnam.
Eligendi fugiat autem reiciendis modi. Dolor officiis pariatur laboriosam minus iure eligendi.",Fábrica de Software Internacional,Barranquilla,Investigación,2021-03-01,vacante/images/default.jpeg
Biomedical engineer,"Enim provident ullam quo unde aperiam exercitationem. Molestiae earum pariatur nemo asperiores eum iste.
Harum porro explicabo nam perspiciatis maiores eligendi. Corporis ut minus modi earum. Totam assumenda placeat recusandae.",Sistemas Digitales S.A.,Manizales,Ventas,2023-11-20,vacante/images/default.jpeg
Magazine journalist,"Corporis eum expedita quasi eum accusamus. Doloribus doloribus excepturi explicabo doloremque. Dolorem quas dolor eius.
Quos culpa molestiae corrupti placeat corrupti consequuntur. Libero ut fugit. Magnam vitae excepturi enim eveniet aperiam.",Compañía Nacional de Tecnología,Medellín,Soporte Técnico,2022-06-06,vacante/images/default.jpeg
Orthoptist,Facere temporibus consectetur nostrum amet in. Iste adipisci ducimus ab hic libero soluta quisquam. Quibusdam sequi exercitationem voluptate eos nisi eum. Quae fugiat nam enim libero quia.,Fábrica de Software Internacional,Pasto,Consultoría,2024-03-29,vacante/images/default.jpeg
Legal secretary,Doloribus perspiciatis provident quos ducimus. Debitis sit itaque dicta iure odit itaque. Nulla commodi quaerat reprehenderit quas temporibus.,Compañía Nacional de Tecnología,Santa Marta,Marketing,2022-05-08,vacante/images/default.jpeg
Broadcast engineer,"Nostrum quos animi. Earum dolores excepturi impedit.
Laudantium vitae tempora labore enim ipsam alias. Atque error odit facere aliquid consectetur alias. Occaecati recusandae libero nesciunt molestias quis.",Proyectos Empresariales,Bogotá,Marketing,2024-10-22,vacante/images/default.jpeg
Meteorologist,"Dolorum deleniti quisquam inventore vero. Voluptatibus rem doloribus qui voluptatum non.
Possimus quos qui. Blanditiis eaque similique occaecati adipisci doloremque. Unde molestias perspiciatis repellendus quod.",Estrategias de Marketing Digital,Medellín,Ventas,2020-09-17,vacante/images/default.jpeg
"Research officer, trade union","Repellat illum adipisci qui. Eos debitis dolore enim sapiente deleniti.
Impedit a quo non mollitia. Minima aut pariatur et.",Compañía Nacional de Tecnología,Armenia,Desarrollo,2023-05-23,vacante/images/default.jpeg
Equality and diversity officer,Qui explicabo fugit neque officia. Eius tenetur magni nemo. Perspiciatis repudiandae dolores incidunt ipsum mollitia ut.,Grupo Empresarial Latinoamericano,Cartagena,Administración,2024-06-02,vacante/images/default.jpeg
Insurance account manager,Totam quisquam quod quos neque. Esse ipsum quaerat commodi.,Estrategias de Marketing Digital,Ibagué,Administración,2024-10-15,vacante/images/default.jpeg
Logistics and distribution manager,"Illum illum minus dolorum temporibus nobis ad. Nostrum officia omnis minus delectus quae velit.
Libero quia repellat laboriosam. Libero dicta iusto recusandae eos dolor quam.",Corporación Innovadora,Pereira,Recursos Humanos,2022-04-17,vacante/images/default.jpeg
Chief Financial Officer,"Error velit officiis quo laudantium dolore. Quibusdam praesentium nulla repellendus fugit debitis.
Magni eum nisi velit molestias suscipit. Voluptates asperiores itaque unde pariatur quia.",Sistemas Digitales S.A.,Neiva,Diseño,2023-08-22,vacante/images/default.jpeg
"Surveyor, mining","Modi rerum aut accusantium. Sit assumenda distinctio iusto debitis eum.
In odio odio iure at. Ipsum deleniti nihil nisi maiores sequi corrupti odit. Laborum cupiditate necessitatibus corrupti porro.",Soluciones Financieras Ltda.,Ibagué,Desarrollo,2024-09-05,vacante/images/default.jpeg
Travel agency manager,Excepturi architecto laborum voluptate sequi. Minus nobis maiores dolorem occaecati suscipit doloribus. Facilis repudiandae quasi fugit. Laudantium dolores deleniti tempore.,Soluciones Financieras Ltda.,Cali,Ventas,2022-11-01,vacante/images/default.jpeg
Environmental consultant,"Illum cupiditate alias corporis. Placeat excepturi inventore. Earum debitis quaerat nulla voluptatibus sequi.
Vitae eum veritatis maxime adipisci. Cupiditate maiores exercitationem vel a minus corporis blanditiis.",Servicios de Infraestructura TIC,Manizales,Ventas,2023-02-15,vacante/images/default.jpeg
Writer,Eligendi debitis quidem vel. Aut voluptatibus ut pariatur aperiam quaerat esse. Ratione nobis dolor minima nulla.,Sistemas Digitales S.A.,Villavicencio,Soporte Técnico,2023-12-22,vacante/images/default.jpeg
Charity officer,"Facere eius nisi ab. Repellendus nesciunt alias molestias quibusdam.
Ullam hic repellat quod vel quod facere nihil. Harum voluptatem distinctio voluptates doloribus deserunt veritatis minima. Eius suscipit perferendis non necessitatibus.",Fábrica de Software Internacional,Bucaramanga,Ventas,2023-03-13,vacante/images/default.jpeg
Data scientist,"Harum quibusdam dolores veritatis at animi laudantium. Vitae voluptates alias eaque natus.
Commodi iure mollitia quod minus. Repellat beatae iste repellat amet repellendus. Voluptas neque cum iure mollitia placeat ab asperiores.",Corporación Innovadora,Pasto,Desarrollo,2020-08-26,vacante/images/default.jpeg
Intelligence analyst,"Quas ut soluta accusantium esse tempore. Ipsum ut vitae.
Accusantium repellat sint maiores enim blanditiis vel. Reiciendis ea facilis praesentium provident libero distinctio. Assumenda ullam amet officia libero fugit quas.",Grupo Empresarial Latinoamericano,Cartagena,Diseño,2022-09-09,vacante/images/default.jpeg
"Therapist, sports","Inventore corrupti sint deserunt alias. Nisi dolorem exercitationem vel.
Ab asperiores cumque corporis temporibus nam. Magni tenetur architecto possimus deleniti praesentium veritatis.",Corporación Innovadora,Armenia,Ventas,2025-02-06,vacante/images/default.jpeg
"Designer, fashion/clothing","Eos quibusdam quae facilis. Quos repellat quae ea exercitationem doloremque dignissimos.
Voluptas atque sapiente aliquid nemo dicta. Quos culpa amet possimus neque neque odio. Nostrum voluptatibus sed nobis nemo.",Soluciones Financieras Ltda.,Armenia,Desarrollo,2021-10-04,vacante/images/default.jpeg
Secondary school teacher,"Voluptatem fugit nemo voluptatem sed neque. Autem optio quo.
In vitae aperiam deleniti blanditiis. Dolorem debitis reiciendis quidem quod mollitia tempora. Eos nemo quis impedit quia mollitia tempora.",Proyectos Empresariales,Armenia,Administración,2022-07-08,vacante/images/default.jpeg
Medical sales representative,"Reiciendis repellat sunt recusandae. Culpa animi laborum laboriosam eaque deleniti tenetur.
Laborum laborum eaque iusto. Repellat optio libero suscipit ex dolorem.",Sistemas Digitales S.A.,Cali,Diseño,2022-05-19,vacante/images/default.jpeg
"Journalist, broadcasting","Ea molestias fugiat illum magnam enim. Quasi reprehenderit voluptas praesentium doloribus. Ab ipsa aliquam esse.
Impedit ut dignissimos fugiat. Fugit accusamus dolores repudiandae. Necessitatibus porro facere nam repellendus.",Soluciones Financieras Ltda.,Ibagué,Consultoría,2022-12-24,vacante/images/default.jpeg
"Engineer, manufacturing systems","Magnam earum magnam ipsam rerum hic. Nostrum sequi itaque.
Porro cupiditate saepe ratione laboriosam. Laborum aliquid corrupti dignissimos dolorem. Nemo dignissimos dignissimos nisi adipisci sint.",Consultores Globales,Villavicencio,Investigación,2022-06-16,vacante/images/default.jpeg
English as a foreign language teacher,Ullam deleniti reprehenderit. Neque qui harum aut minima iste in. Eius iure voluptate voluptates atque totam magni.,Servicios de Infraestructura TIC,Cúcuta,Recursos Humanos,2020-07-14,vacante/images/default.jpeg
